"region","industry (SIC2007)","sex","age","year","contents","07984: Employed persons per 4th quarter, by region, industry (SIC2007), sex, age, year and contents"
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-19 15-19 years","2009","Employed persons by place of residence",4189
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-19 15-19 years","2009","Employed persons by place of work",4180
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-19 15-19 years","2010","Employed persons by place of residence",4303
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-19 15-19 years","2010","Employed persons by place of work",4297
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-19 15-19 years","2011","Employed persons by place of residence",4123
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-19 15-19 years","2011","Employed persons by place of work",4114
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-19 15-19 years","2012","Employed persons by place of residence",3230
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-19 15-19 years","2012","Employed persons by place of work",3227
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-19 15-19 years","2013","Employed persons by place of residence",3286
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-19 15-19 years","2013","Employed persons by place of work",3283
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-19 15-19 years","2014","Employed persons by place of residence",3334
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-19 15-19 years","2014","Employed persons by place of work",3339
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-19 15-19 years","2015","Employed persons by place of residence",2784
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-19 15-19 years","2015","Employed persons by place of work",2829
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-19 15-19 years","2016","Employed persons by place of residence",2753
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-19 15-19 years","2016","Employed persons by place of work",2720
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-19 15-19 years","2017","Employed persons by place of residence",2778
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-19 15-19 years","2017","Employed persons by place of work",2809
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-19 15-19 years","2018","Employed persons by place of residence",2845
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","15-19 15-19 years","2018","Employed persons by place of work",2816
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","20-24 20-24 years","2008","Employed persons by place of residence",3212
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","20-24 20-24 years","2008","Employed persons by place of work",3206
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","20-24 20-24 years","2009","Employed persons by place of residence",3318
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","20-24 20-24 years","2009","Employed persons by place of work",3320
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","20-24 20-24 years","2010","Employed persons by place of residence",3457
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","20-24 20-24 years","2010","Employed persons by place of work",3490
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","20-24 20-24 years","2011","Employed persons by place of residence",3322
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","20-24 20-24 years","2011","Employed persons by place of work",3310
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","20-24 20-24 years","2012","Employed persons by place of residence",2973
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","20-24 20-24 years","2012","Employed persons by place of work",2962
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","20-24 20-24 years","2013","Employed persons by place of residence",2876
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","20-24 20-24 years","2013","Employed persons by place of work",2874
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","20-24 20-24 years","2014","Employed persons by place of residence",2981
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","20-24 20-24 years","2014","Employed persons by place of work",2994
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","20-24 20-24 years","2015","Employed persons by place of residence",2576
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","20-24 20-24 years","2015","Employed persons by place of work",2551
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","20-24 20-24 years","2016","Employed persons by place of residence",2797
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","20-24 20-24 years","2016","Employed persons by place of work",2782
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","20-24 20-24 years","2017","Employed persons by place of residence",2761
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","20-24 20-24 years","2017","Employed persons by place of work",2773
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","20-24 20-24 years","2018","Employed persons by place of residence",2820
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","20-24 20-24 years","2018","Employed persons by place of work",2863
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","25-39 25-39 years","2008","Employed persons by place of residence",11430
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","25-39 25-39 years","2008","Employed persons by place of work",11426
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","25-39 25-39 years","2009","Employed persons by place of residence",11190
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","25-39 25-39 years","2009","Employed persons by place of work",11184
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","25-39 25-39 years","2010","Employed persons by place of residence",10821
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","25-39 25-39 years","2010","Employed persons by place of work",10808
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","25-39 25-39 years","2011","Employed persons by place of residence",9975
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","25-39 25-39 years","2011","Employed persons by place of work",9982
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","25-39 25-39 years","2012","Employed persons by place of residence",9455
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","25-39 25-39 years","2012","Employed persons by place of work",9458
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","25-39 25-39 years","2013","Employed persons by place of residence",9225
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","25-39 25-39 years","2013","Employed persons by place of work",9231
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","25-39 25-39 years","2014","Employed persons by place of residence",9235
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","25-39 25-39 years","2014","Employed persons by place of work",9236
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","25-39 25-39 years","2015","Employed persons by place of residence",8955
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","25-39 25-39 years","2015","Employed persons by place of work",8942
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","25-39 25-39 years","2016","Employed persons by place of residence",9069
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","25-39 25-39 years","2016","Employed persons by place of work",9080
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","25-39 25-39 years","2017","Employed persons by place of residence",9517
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","25-39 25-39 years","2017","Employed persons by place of work",9524
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","25-39 25-39 years","2018","Employed persons by place of residence",9634
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","25-39 25-39 years","2018","Employed persons by place of work",9620
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","40-54 40-54 years","2008","Employed persons by place of residence",17506
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","40-54 40-54 years","2008","Employed persons by place of work",17513
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","40-54 40-54 years","2009","Employed persons by place of residence",17390
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","40-54 40-54 years","2009","Employed persons by place of work",17384
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","40-54 40-54 years","2010","Employed persons by place of residence",16533
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","40-54 40-54 years","2010","Employed persons by place of work",16534
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","40-54 40-54 years","2011","Employed persons by place of residence",15701
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","40-54 40-54 years","2011","Employed persons by place of work",15699
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","40-54 40-54 years","2012","Employed persons by place of residence",14905
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","40-54 40-54 years","2012","Employed persons by place of work",14915
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","40-54 40-54 years","2013","Employed persons by place of residence",14336
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","40-54 40-54 years","2013","Employed persons by place of work",14335
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","40-54 40-54 years","2014","Employed persons by place of residence",13957
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","40-54 40-54 years","2014","Employed persons by place of work",13959
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","40-54 40-54 years","2015","Employed persons by place of residence",13362
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","40-54 40-54 years","2015","Employed persons by place of work",13377
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","40-54 40-54 years","2016","Employed persons by place of residence",13002
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","40-54 40-54 years","2016","Employed persons by place of work",13006
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","40-54 40-54 years","2017","Employed persons by place of residence",13051
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","40-54 40-54 years","2017","Employed persons by place of work",13056
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","40-54 40-54 years","2018","Employed persons by place of residence",12667
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","40-54 40-54 years","2018","Employed persons by place of work",12664
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","55-66 55-66 years","2008","Employed persons by place of residence",14973
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","55-66 55-66 years","2008","Employed persons by place of work",14965
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","55-66 55-66 years","2009","Employed persons by place of residence",14918
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","55-66 55-66 years","2009","Employed persons by place of work",14919
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","55-66 55-66 years","2010","Employed persons by place of residence",13857
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","55-66 55-66 years","2010","Employed persons by place of work",13855
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","55-66 55-66 years","2011","Employed persons by place of residence",13037
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","55-66 55-66 years","2011","Employed persons by place of work",13030
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","55-66 55-66 years","2012","Employed persons by place of residence",13377
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","55-66 55-66 years","2012","Employed persons by place of work",13370
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","55-66 55-66 years","2013","Employed persons by place of residence",12705
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","55-66 55-66 years","2013","Employed persons by place of work",12710
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","55-66 55-66 years","2014","Employed persons by place of residence",12354
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","55-66 55-66 years","2014","Employed persons by place of work",12352
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","55-66 55-66 years","2015","Employed persons by place of residence",11915
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","55-66 55-66 years","2015","Employed persons by place of work",11918
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","55-66 55-66 years","2016","Employed persons by place of residence",11242
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","55-66 55-66 years","2016","Employed persons by place of work",11237
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","55-66 55-66 years","2017","Employed persons by place of residence",11389
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","55-66 55-66 years","2017","Employed persons by place of work",11372
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","55-66 55-66 years","2018","Employed persons by place of residence",11609
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","55-66 55-66 years","2018","Employed persons by place of work",11610
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","67-74 67-74 years","2008","Employed persons by place of residence",6087
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","67-74 67-74 years","2008","Employed persons by place of work",6057
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","67-74 67-74 years","2009","Employed persons by place of residence",6317
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","67-74 67-74 years","2009","Employed persons by place of work",6326
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","67-74 67-74 years","2010","Employed persons by place of residence",5589
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","67-74 67-74 years","2010","Employed persons by place of work",5613
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","67-74 67-74 years","2011","Employed persons by place of residence",5388
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","67-74 67-74 years","2011","Employed persons by place of work",5384
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","67-74 67-74 years","2012","Employed persons by place of residence",7286
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","67-74 67-74 years","2012","Employed persons by place of work",7293
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","67-74 67-74 years","2013","Employed persons by place of residence",7592
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","67-74 67-74 years","2013","Employed persons by place of work",7587
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","67-74 67-74 years","2014","Employed persons by place of residence",7796
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","67-74 67-74 years","2014","Employed persons by place of work",7793
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","67-74 67-74 years","2015","Employed persons by place of residence",6973
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","67-74 67-74 years","2015","Employed persons by place of work",6970
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","67-74 67-74 years","2016","Employed persons by place of residence",6380
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","67-74 67-74 years","2016","Employed persons by place of work",6371
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","67-74 67-74 years","2017","Employed persons by place of residence",6524
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","67-74 67-74 years","2017","Employed persons by place of work",6535
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","67-74 67-74 years","2018","Employed persons by place of residence",7482
"0 The whole country","01-03 Agriculture, forestry and fishing","1 Males","67-74 67-74 years","2018","Employed persons by place of work",7477
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-74 15-74 years","2008","Employed persons by place of residence",19004
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-74 15-74 years","2008","Employed persons by place of work",19005
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-74 15-74 years","2009","Employed persons by place of residence",17913
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-74 15-74 years","2009","Employed persons by place of work",17922
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-74 15-74 years","2010","Employed persons by place of residence",17255
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-74 15-74 years","2010","Employed persons by place of work",17261
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-74 15-74 years","2011","Employed persons by place of residence",16196
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-74 15-74 years","2011","Employed persons by place of work",16192
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-74 15-74 years","2012","Employed persons by place of residence",14240
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-74 15-74 years","2012","Employed persons by place of work",14237
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-74 15-74 years","2013","Employed persons by place of residence",13799
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-74 15-74 years","2013","Employed persons by place of work",13798
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-74 15-74 years","2014","Employed persons by place of residence",13825
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-74 15-74 years","2014","Employed persons by place of work",13836
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-74 15-74 years","2015","Employed persons by place of residence",12204
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-74 15-74 years","2015","Employed persons by place of work",12210
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-74 15-74 years","2016","Employed persons by place of residence",11929
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-74 15-74 years","2016","Employed persons by place of work",11920
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-74 15-74 years","2017","Employed persons by place of residence",12098
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-74 15-74 years","2017","Employed persons by place of work",12051
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-74 15-74 years","2018","Employed persons by place of residence",12645
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-74 15-74 years","2018","Employed persons by place of work",12626
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-19 15-19 years","2008","Employed persons by place of residence",2064
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-19 15-19 years","2008","Employed persons by place of work",2071
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-19 15-19 years","2009","Employed persons by place of residence",1763
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-19 15-19 years","2009","Employed persons by place of work",1725
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-19 15-19 years","2010","Employed persons by place of residence",1915
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-19 15-19 years","2010","Employed persons by place of work",1894
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-19 15-19 years","2011","Employed persons by place of residence",1896
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-19 15-19 years","2011","Employed persons by place of work",1883
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-19 15-19 years","2012","Employed persons by place of residence",1375
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-19 15-19 years","2012","Employed persons by place of work",1375
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-19 15-19 years","2013","Employed persons by place of residence",1389
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-19 15-19 years","2013","Employed persons by place of work",1385
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-19 15-19 years","2014","Employed persons by place of residence",1453
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-19 15-19 years","2014","Employed persons by place of work",1439
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-19 15-19 years","2015","Employed persons by place of residence",1263
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-19 15-19 years","2015","Employed persons by place of work",1239
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-19 15-19 years","2016","Employed persons by place of residence",1276
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-19 15-19 years","2016","Employed persons by place of work",1240
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-19 15-19 years","2017","Employed persons by place of residence",1244
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-19 15-19 years","2017","Employed persons by place of work",1229
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-19 15-19 years","2018","Employed persons by place of residence",1352
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","15-19 15-19 years","2018","Employed persons by place of work",1340
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","20-24 20-24 years","2008","Employed persons by place of residence",1344
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","20-24 20-24 years","2008","Employed persons by place of work",1343
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","20-24 20-24 years","2009","Employed persons by place of residence",1229
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","20-24 20-24 years","2009","Employed persons by place of work",1235
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","20-24 20-24 years","2010","Employed persons by place of residence",1364
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","20-24 20-24 years","2010","Employed persons by place of work",1351
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","20-24 20-24 years","2011","Employed persons by place of residence",1297
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","20-24 20-24 years","2011","Employed persons by place of work",1312
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","20-24 20-24 years","2012","Employed persons by place of residence",1108
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","20-24 20-24 years","2012","Employed persons by place of work",1117
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","20-24 20-24 years","2013","Employed persons by place of residence",1159
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","20-24 20-24 years","2013","Employed persons by place of work",1155
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","20-24 20-24 years","2014","Employed persons by place of residence",1195
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","20-24 20-24 years","2014","Employed persons by place of work",1189
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","20-24 20-24 years","2015","Employed persons by place of residence",826
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","20-24 20-24 years","2015","Employed persons by place of work",822
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","20-24 20-24 years","2016","Employed persons by place of residence",903
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","20-24 20-24 years","2016","Employed persons by place of work",927
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","20-24 20-24 years","2017","Employed persons by place of residence",959
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","20-24 20-24 years","2017","Employed persons by place of work",924
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","20-24 20-24 years","2018","Employed persons by place of residence",896
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","20-24 20-24 years","2018","Employed persons by place of work",937
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","25-39 25-39 years","2008","Employed persons by place of residence",3714
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","25-39 25-39 years","2008","Employed persons by place of work",3733
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","25-39 25-39 years","2009","Employed persons by place of residence",3448
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","25-39 25-39 years","2009","Employed persons by place of work",3445
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","25-39 25-39 years","2010","Employed persons by place of residence",3244
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","25-39 25-39 years","2010","Employed persons by place of work",3289
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","25-39 25-39 years","2011","Employed persons by place of residence",3085
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","25-39 25-39 years","2011","Employed persons by place of work",3098
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","25-39 25-39 years","2012","Employed persons by place of residence",2671
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","25-39 25-39 years","2012","Employed persons by place of work",2673
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","25-39 25-39 years","2013","Employed persons by place of residence",2644
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","25-39 25-39 years","2013","Employed persons by place of work",2658
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","25-39 25-39 years","2014","Employed persons by place of residence",2648
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","25-39 25-39 years","2014","Employed persons by place of work",2649
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","25-39 25-39 years","2015","Employed persons by place of residence",2545
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","25-39 25-39 years","2015","Employed persons by place of work",2548
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","25-39 25-39 years","2016","Employed persons by place of residence",2722
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","25-39 25-39 years","2016","Employed persons by place of work",2763
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","25-39 25-39 years","2017","Employed persons by place of residence",2826
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","25-39 25-39 years","2017","Employed persons by place of work",2839
"0 The whole country","01-03 Agriculture, forestry and fishing","2 Females","25-39 25-39 years","2018","Employed persons by place of residence",2860
